"case.name","case.issue","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer"
"7275","1998-002","8",2,2,2,2,2,2,2,2,2
"7276","1998-003","7",2,2,2,2,2,2,2,2,2
"7277","1998-004","1",1,2,1,1,1,2,1,2,1
"7278","1998-005","1",2,2,2,2,2,2,2,2,2
"7279","1998-006","9",1,1,1,1,1,1,1,1,1
"7280","1998-007","2",2,2,2,2,2,2,2,2,2
"7281","1998-008","8",1,1,1,1,1,1,1,1,1
"7282","1998-009","1",1,2,1,1,1,2,1,2,2
"7283","1998-010","2",1,2,1,1,1,1,1,1,1
"7284","1998-011","8",1,2,1,1,1,1,1,1,1
"7285","1998-012","3",1,2,1,2,2,2,2,2,1
"7286","1998-013","4",2,2,2,2,2,2,2,2,2
"7287","1998-014","8",2,2,2,2,2,2,2,2,2
"7288","1998-015","8",1,1,1,1,1,1,1,1,1
"7289","1998-016","2",2,2,2,2,2,2,1,2,2
"7290","1998-017","10",2,2,2,2,2,2,2,2,2
"7294","1998-021","8",1,1,1,1,1,1,1,1,1
"7295","1998-022","9",1,1,1,1,1,1,1,1,1
"7296","1998-023","2",1,1,1,1,1,1,1,1,1
"7297","1998-024","2",1,1,1,1,1,2,1,1,1
"7298","1998-025","1",1,1,1,2,1,1,2,1,1
"7299","1998-026","1",1,1,1,1,1,1,1,1,1
"7300","1998-027","10",1,1,1,1,1,1,1,1,1
"7301","1998-028","4",1,2,1,1,1,1,1,1,1
"7302","1998-029","2",2,2,2,2,1,2,1,2,2
"7303","1998-030","7",1,2,1,1,2,2,1,2,2
"7306","1998-033","2",1,2,1,1,1,1,1,1,1
"7308","1998-035","2",1,2,1,1,1,1,1,1,1
"7309","1998-036","9",2,2,2,2,2,2,2,2,2
"7310","1998-037","8",1,1,1,1,1,1,1,1,1
"7311","1998-038","2",1,2,2,1,1,2,1,2,2
"7312","1998-039","1",1,2,1,2,1,2,2,2,1
"7313","1998-040","2",1,2,1,1,1,1,1,1,1
"7314","1998-041","9",2,1,2,1,2,2,2,2,2
"7315","1998-042","8",2,2,2,2,2,2,2,2,2
"7316","1998-043","1",1,2,1,1,1,2,1,2,1
"7317","1998-044","1",1,2,1,1,2,2,1,2,2
"7318","1998-045","9",1,2,2,1,2,2,1,2,2
"7319","1998-046","8",2,2,2,2,2,2,2,2,2
"7320","1998-047","9",1,1,1,1,1,1,1,1,1
"7321","1998-048","8",1,1,1,1,1,1,1,1,1
"7322","1998-049","2",1,1,1,1,1,1,1,1,1
"7323","1998-050","8",1,2,1,1,1,1,1,1,1
"7324","1998-051","2",1,1,1,1,1,1,1,1,1
"7325","1998-052","2",1,2,2,2,2,2,1,2,2
"7326","1998-053","9",1,1,1,1,1,1,1,1,1
"7327","1998-054","2",2,2,2,2,2,2,2,2,2
"7328","1998-055","1",1,2,1,1,1,1,1,2,1
"7329","1998-056","9",2,2,2,2,2,2,2,2,2
"7331","1998-058","1",1,2,1,1,1,1,1,1,1
"7332","1998-059","2",1,2,2,1,1,2,1,2,2
"7333","1998-060","4",1,1,1,1,1,1,1,1,1
"7334","1998-061","8",1,2,1,1,2,1,1,2,2
"7335","1998-062","2",2,2,2,2,2,2,2,2,2
"7336","1998-063","1",1,2,1,1,1,1,1,1,1
"7337","1998-064","2",1,2,1,1,1,1,1,1,1
"7338","1998-065","1",2,2,1,2,1,2,2,1,2
"7339","1998-066","1",1,2,1,1,1,1,1,2,2
